whova2016,whova2022
SubmissionDate,SubmissionDate
start-time,start-time
end,end
today,today
deviceid,deviceid
phonenumber,phonenumber
welcome,welcome
D2SN,D2SN
Id10010,Id10010
Id10010Phone,Id10010a
Id10010a,Id10010b
Id10010b,Id10010c
Id10010c,language
Id10012,Id10002
Id10005R,Id10003
Id10005D,Id10004
Id10005Dother,Id10007
Id10005W,Id10007a
Id10005S,Id10007b
Id10005V,Id10007Phone
Id10002,Id10008
Id10003,Id10009
Id10004,Id10012
Id10007,Id10005R
Id10007a,Id10005D
Id10007b,Id10005Dother
Id10007Phone,Id10005W
Id10008,Id10005S
Id10009,Id10005V
Id10013,Id10013
Id10011,Id10011
Id10017,Id10017
Id10018,Id10018
Id10019,Id10019
Id10020,Id10020
Id10021,Id10021
Id10022,Id10022
Id10023_a,Id10023_a
Id10023_b,Id10023_b
Id10023,Id10023
Id10024,Id10024
ageInDays,ageInDays
ageInDays2,ageInDays2
ageInYears,ageInYears
ageInYearsRemain,ageInYearsRemain
ageInMonths,ageInMonths
ageInMonthsRemain,ageInMonthsRemain
isNeonatal1,isNeonatal1
isChild1,isChild1
isAdult1,isAdult1
displayAgeNeonate,displayAgeNeonate
displayAgeChild,displayAgeChild
displayAgeAdult,displayAgeAdult
age_group,age_group
age_neonate_days,age_neonate_days
age_child_unit,age_neonate_hours
age_child_days,age_child_unit
age_child_months,age_child_days
age_child_years,age_child_months
age_adult,age_child_years
ageInMonthsByYear,age_adult
ageInYears2,ageInMonthsByYear
isNeonatal2,ageInYears2
isChild2,isNeonatal2
isAdult2,isChild2
isNeonatal,isAdult2
isChild,isNeonatal
isAdult,isChild
ageInDaysNeonate,isAdult
Id10008_check,ageInDaysNeonate
Id10058,Id10008_check
Id10058name,Id10058
Id10058Other,Id10058_other
Id10058b,Id10487
Id10058c,Id10051
Id10487,Id10052
Id10488,Id10053
Id10488a,Id10054R
Id10051,Id10054D
Id10052,Id10054D_other
Id10053,Id10054S
Id10054R,Id10054V
Id10054D,Id10055
Id10054D_other,Id10057
Id10054S,Id10057R
Id10054V,Id10057D
Id10055,Id10057D_other
Id10057,Id10057S
Id10057R,Id10057V
Id10057D,Id10057_death_outside
Id10057D_other,Id10059
Id10057S,Id10063
Id10057V,Id10064
Id10057_death_outside,Id10065
Id10059,Id10066
Id10060_check,Id10061
Id10060,Id10062
Id10061,noteon
Id10062,Id10476_audio
Id10063,Id10476
Id10064,Id10477
Id10065,Id10477/Fever
Id10066,Id10477/Heart_attack
Id10069,Id10477/None
Id10069_a,Id10477/Road_Accident
Id10070,Id10478
Id10071_check,Id10478/None
Id10071,Id10479
Id10071note,notenarr
Id10072,Id10104
Id10073,Id10105
Id10462,Id10106
Id10463,Id10107
Id10464,Id10377
Id10465,Id10376
Id10466,Id10109
Id10467,Id10110
Id10468,Id10111
Id10469,Id10112
Id10470,Id10113
Id10471,Id10114
Id10472,Id10115
Id10473,Id10116
Id10104,note_s_s
Id10105,Id10125
Id10106,Id10126
Id10107,Id10127
Id10108,Id10128
Id10109,Id10129
Id10110,Id10482
Id10111,Id10483
Id10112,Id10484
Id10113,Id10130
Id10114,Id10131
Id10115,Id10132
Id10116,Id10133
Id10077,Id10134
Id10079,Id10135
Id10080,Id10136
Id10081,Id10137
Id10082,Id10138
Id10083,Id10139
Id10084,Id10140
Id10085,Id10141
Id10086,Id10142
Id10087,Id10143
Id10088,Id10144
Id10089,nmh
Id10090,Id10077
Id10091,Id10077_a
Id10092,Id10077_b
Id10093,Id10079
Id10094,Id10082
Id10095,Id10083
Id10096,Id10084
Id10097,Id10085
Id10098,Id10086
Id10099,Id10087
Id10100,Id10088
Id10077_note,Id10089
Id10351,Id10091
Id10408,Id10092
Id10120_0,Id10093
id10120_unit,Id10096
Id10121,Id10094
Id10122,Id10095
Id10120_1,Id10097
Id10120,Id10098
Id10123,Id10099
Id10125,Id10100
Id10126,Id10351
Id10127,Id10408
Id10128,Id10120_0
Id10129,id10120_unit
Id10130,Id10121
Id10131,Id10122
Id10132,Id10120_1
Id10133,Id10120
Id10134,Id10123
Id10135,Id10147
Id10136,Id10148_a
Id10137,Id10148_units
Id10138,Id10148_b
Id10139,Id10148_c
Id10140,Id10148
Id10141,Id10149
Id10142,Id10150
Id10143,Id10151
Id10144,Id10153
Id10482,Id10154_units
Id10483,Id10154_a
Id10484,Id10154_b
Id10147,Id10154
Id10148_a,Id10155
Id10148_units,Id10156
Id10148_b,Id10157
Id10148_c,Id10158
Id10148,Id10159
Id10149,Id10161_0
Id10150,id10161_unit
Id10151,Id10161_1
Id10152,Id10162
Id10153,Id10163
Id10154_units,Id10161
Id10154_a,Id10165
Id10154_b,Id10170
Id10154,Id10171
Id10155,Id10166
Id10156,Id10167_a
Id10157,Id10167_units
Id10158,Id10167_b
Id10159,Id10167_c
Id10161_0,Id10167
id10161_unit,Id10172
Id10161_1,Id10173_nc
Id10162,Id10173_a
Id10163,Id10173
Id10161,Id10174
Id10165,Id10175
Id10166,Id10176
Id10167_a,Id10178_unit
Id10167_units,Id10179
Id10167_b,Id10179_1
Id10167_c,Id10181
Id10167,Id10182_units
Id10168,Id10182_a
Id10169_a,Id10182_b
Id10169_units,Id10182
Id10169_b,Id10183
Id10169_c,Id10184_a
Id10169,Id10184_units
Id10170,Id10184_b
Id10171,Id10184_c
Id10172,Id10185
Id10173_nc,Id10186
Id10173_nc/dk,Id10188
Id10173_nc/grunting,Id10190_units
Id10173_nc/no,Id10190_a
